Titulo,Resumen,URL,Seccion,Sitio de publicacion,Fecha de publicacion,Autor,Contenido
Detienen a sujeto con 189 pastillas de fentanilo en frontera de Sonora,<p>Elementos de la AMIC detuvieron en Nogales a un hombre que portaba 189 pastillas de dicha droga y arma de plástico.</p>,https://www.jornada.com.mx/notas/2023/05/08/estados/detiene-a-sujeto-con-189-pastillas-de-fentanilo-en-la-frontera-de-sonora/,estados,La jornada,"Mon, 08 May 2023 21:11:00 -0500","<dc:creator xmlns:dc=""http://purl.org/dc/elements/1.1/"">Cristina Gómez Lima, corresponsal</dc:creator>","[<p><em>Nogales, Sonora.</em> Ricardo Guadalupe de 40 años de edad fue detenido con 189 pastillas de fentanilo y una réplica en plástico de un arma de fuego en Nogales, municipio ubicado en la frontera de México con Estados Unidos; personal de la Agencia Ministerial de Investigación Criminal (AMIC) de la Fiscalía de Sonora, investiga el delito como narcomenudeo y daños contra la salud.</p>, <p>El arresto ocurrió aproximadamente a las 19:20 horas del domingo en la colonia Rosarito Dos de esta ciudad fronteriza, cuando los elementos AMIC ubicaron al individuo en la confluencia del callejón 3 y calle municipio de Hidalgo, quien al ser abordado por los uniformados adoptó una actitud evasiva y emprendió la huida a fuerza de carrera, sin embargo, fue alcanzado y detenido por los agentes AMIC.</p>, <p>“El sujeto detenido es Ricardo Guadalupe “N.”, de 40 años de edad, originario de Los Mochis, Sinaloa, quien fue asegurado y trasladado a las oficinas de la AMIC para su certificación médica y la elaboración del Informe Policial Homologado (IPH) y posteriormente fue puesto a disposición de la Fiscalía General de la República (FGR) por delitos contra la salud, en su modalidad de narcomenudeo”, comunicó la Fiscalía de Sonora.</p>, <p>Se informó que al realizarle una revisión corporal, encontraron dentro de su short una bolsa transparente con 189 pastillas redondas de color azul con la leyenda M30, que corresponden a fentanilo, peligrosa droga sintética que ha causado numerosas muertes en distintas partes del mundo, además traía consigo una réplica en plástico de un arma de fuego.</p>, <p>Según el Centro de Control de Enfermedades, el fentanilo es un opioide sintético hasta 50 veces más fuerte que la heroína y 100 veces más fuerte que la morfina. Tras ser distribuido de manera práctica, diversos medios de comunicación han alertado de su distribución a través de redes sociales como Instagram y Tik Tok, lo que ha cobrado cantidad de vidas por su extrema potencia y peligrosidad.</p>, <p>Los gobiernos de México y Estados Unidos han informado que pretenden reforzar sus planes conjuntos en contra del consumo y tráfico de drogas sintéticas, entre ellas el fentanilo y también la metanfetamina, las cuales son las que mayor comercio ilegal están generando entre ambos países.</p>]"
Alerta Moody’s por riesgo crediticio y para la gobernabilidad en AL,"<p>La calificadora citó riesgos políticos y sociales, como la inflación y la desigualdad; en el caso de México mencionó los cambios en la política energética.</p>",https://www.jornada.com.mx/notas/2023/05/08/economia/alerta-moody-s-por-riesgo-crediticio-y-para-la-gobernabilidad-en-al/,economia,La jornada,"Mon, 08 May 2023 21:08:00 -0500",,"[<p><em>Nueva York.</em> La inflación, el alto costo de vida y la falta de acceso a servicios sociales, así como las crecientes tensiones políticas en América Latina socavan la gobernabilidad y agravan el riesgo crediticio, alertó este lunes la agencia de calificación Moody’s en un informe.</p>, <p>Desde Argentina, pasando por Chile, Brasil, Colombia, Perú o México, los riesgos sociopolíticos se han vuelto cada vez más “prominentes” y retroalimentan el “descontento social” y las “tensiones políticas” repercutiendo en las inversiones y en la confianza de los inversores, dice la agencia de calificación que estudia a los países más grandes de la región.</p>, <p>La pandemia de covid, sumado a la alta inflación y al menor crecimiento en América Latina hizo que los “gobiernos tengan menos recursos para enfrentar los problemas sociales que se han vuelto más graves”, dice a la AFP Ariane Ortíz-Bollin, vicepresidenta de la agencia y coautora del informe.</p>, <p>“La novedad de este reporte es que estamos buscando ligar los riesgos políticos con las puntuaciones que utilizamos para leer los riesgos sociales en la balanza” que publica Moody’s para que los “inversionistas sepan qué hay detrás de esas puntuaciones”, explica.</p>, <p>El informe señala “cuatro canales de transmisión”: los riesgos de gobernabilidad, los cambios de política económica, el desempeño económico y la volatilidad financiera, que han “evolucionado hasta convertirse en factores más importantes de riesgos crediticios”, asegura Ortíz-Bollín.</p>, <p>Aunque el acceso limitado a los servicios básicos y la desigual cobertura de la educación, la sanidad y las oportunidades laborales son problemas comunes a muchos mercados emergentes, América Latina destaca por la “desigualdad de ingresos”, que puede “complicar el diseño y la implementación de políticas públicas”.</p>, <p>La corrupción y la debilidad de las instituciones también puede asociarse a mayores riesgos sociales, advierten los autores.</p>, <p>Moody’s que no puede hacer recomendaciones pero sí resaltar los riesgos para los inversores, señala de Brasil que los cambios de políticas “podrían derivar en la intervención del gobierno en las empresas estatales y los bancos gubernamentales”.</p>, <p>En Chile, los riesgos sociales son “moderadamente negativos”. “A medida que el gobierno busca abordar las demandas sociales de una mejor calidad y cobertura de servicios, los sectores más expuestos a los cambios de políticas incluyen bancos, empresas mineras y proyectos de energía”.</p>, <p>En Colombia, la “ambiciosa” agenda de reformas del gobierno del izquierdista Gustavo Retro, “intensifica el riesgo de cambios de políticas, lo que afecta la confianza de los inversionistas”.</p>, <p>En el caso de México, los cambios en la política energética “han frenado la inversión privada en el sector, particularmente en energías renovables” y algunas empresas han aumentado la dependencia del apoyo recurrente del gobierno.</p>, <p>Las preocupaciones por la violencia y la seguridad también limitan el crecimiento económico y de la inversión en México.</p>, <p>En Perú, un resurgimiento de las protestas sociales crearía riesgos de gobernabilidad, lo que representaría una amenaza para emisores soberanos, bancarios, turísticos y minoristas, advierte el informe.</p>]"
Sin víctimas mexicanas tras atropello en Brownsville,"<p>El consulado de México en Brownsville, Texas expresó sus condolencias a las familias de las víctimas y lamentó el trágico incidente</p>",https://www.jornada.com.mx/notas/2023/05/08/politica/sin-victimas-mexicanas-tras-atropello-en-brownsville/,politica,La jornada,"Mon, 08 May 2023 21:03:00 -0500","<dc:creator xmlns:dc=""http://purl.org/dc/elements/1.1/"">la Redacción</dc:creator>","[<p>El consulado de México en Brownsville, Texas, informó que la autoridad local no ha registrado hasta el momento victimas mexicanas en el lamentable atropellamiento de un grupo de personas que esperaban en una parada de autobús ubicada en las inmediaciones de un refugio de migrantes.</p>, <p>Reiteró sus condolencias a las familias de las víctimas y lamentó el trágico incidente que enluta a este estado.</p>, <p>La policía de Brownsville informó que las 8 personas fallecidas procedían de Venezuela y habían llegado al albergue dos o tres días antes. El responsable del atropellamiento es un hispano.</p>]"
Ex alcalde de Cuernavaca sale de prisión bajo arraigo domiciliario,"<p>José Antonio Villalobos, acusado de desvío de más 9 millones de pesos, obtuvo un amparo para seguir su proceso fuera de prisión.</p>",https://www.jornada.com.mx/notas/2023/05/08/estados/ex-alcalde-de-cuernavaca-sale-de-prision-bajo-arraigo-domiciliario/,estados,La jornada,"Mon, 08 May 2023 21:02:00 -0500","<dc:creator xmlns:dc=""http://purl.org/dc/elements/1.1/"">Rubicela Morelos Cruz, corresponsal</dc:creator>","[<p><em>Cuernavaca, Mor.</em> José Antonio Villalobos Adán, ex alcalde Cuernavaca (2018-2021), quien estuvo en prisión desde hace 7 meses y 8 días acusado del delito de ejercicio indebido de funciones, por haber desviado más de 9 millones pesos del Sistema de Agua Potable y Alcantarillado de Cuernavaca (Sapac), salió de la cárcel esta tarde, al modificarse la medida cautelar “a arraigo domiciliario”.</p>, <p>Jesús García Aguilar, abogado del ex alcalde, consideró que desde un principio no debieron de haber impuesto la medida de prisión preventiva, por lo que esta tarde se “decretó su salida del centro penitenciario” del ex alcalde, dijo.</p>, <p>El fallo de esta tarde del juez, según personas allegadas al ex edil, obedeció a una revisión que ordenó un tribunal colegiado, luego que su abogado particular presentó un amparo contra la medida cautelar de prisión preventiva.</p>, <p>Los más de 9 millones de pesos desviados provenían de las aportaciones de los empleados del Sapac al Instituto de Crédito para los Trabajadores al Servicio del Gobierno de Morelos (ICTSGEM), de acuerdo con la denuncia que presentó el propio organismo financiero ante la Fiscalía anticorrupción estatal en enero 2022.</p>, <p>Jesús García Aguilar, en entrevista anterior, después de la vinculación a proceso en contra de Villalobos, aseguró que recurrirá a la justicia federal para tratar de revocar la vinculación a proceso, y también la medida cautelar de prisión preventiva que se le impuso a su representado, porque considero que los datos de prueba que presentó la Fiscalía Especializada de Combate a la Corrupción (FECC), en la audiencia realizada el pasado 28 de septiembre 2022, según su opinión, “no ameritaba una vinculación a proceso”.</p>, <p>Villalobos fue detenido en septiembre de 2022, junto con otros dos ex regidores, ambos integrantes de la junta de gobierno del Sistema de Agua y Alcantarillado de Cuernavaca (SAPAC), pero éstos dos fueron liberados un mes después de que la Fiscalía Especializada en Combate a Corrupción solicitó para éstos la aplicación de “criterio de oportunidad”, porque según, estos dos (un ex regidor y una ex regidora) aportaron datos que “corroboran” y “robustecen” las investigaciones sobre este caso. Pero este lunes el ex alcalde salió de la cárcel y se fue a su casa con una medida de arraigo domiciliario.</p>]"
Un año de impunidad en caso Yolanda Martínez,<p>El padre de Yolanda denunció que la investigación ha sido muy lenta y aún no hay responsables</p>,https://www.jornada.com.mx/notas/2023/05/08/estados/marchan-por-yolanda-martinez-denuncian-un-ano-de-impunidad/,estados,La jornada,"Mon, 08 May 2023 21:02:00 -0500","<dc:creator xmlns:dc=""http://purl.org/dc/elements/1.1/"">Raúl Robledo, corresponsal</dc:creator>","[<p><em>Monterrey.</em> Al cumplirse un año de haber encontrado el cuerpo de Yolanda Martínez Cadena en un terreno baldío, su padre, Gerardo Martínez Bautista, encabezó una marcha para seguir exigiendo justicia.</p>, <p>Frente a Palacio de Gobierno, al menos medio centenar de personas se reunieron para acompañar al padre de Yolanda en una marcha, cuyo destino final es ir a la Fiscalía Especializada en Feminicidios, a cargo de Griselda Núñez Espinoza.</p>, <p>Al trazar el recorrido, éste arrancó a las 18:00 horas y el grupo de manifestantes se desplazó por Zaragoza, para continuar por Juan Ignacio Ramón, Pino Suárez y Ocampo, hasta llegar frente a la sede de la Fiscalía.</p>, <p>Tras hacer el recorrido por las calles del Centro de la Ciudad, los manifestantes arribaron a la Fiscalía Especializada en Feminicidios, donde se encontraron con las puertas cerradas.</p>, <p>Personal del área administrativa salió a atender al padre de Yolanda Martínez, pero únicamente dijo que recibiría el escrito que deseaban entregar.</p>, <p>Como el padre de Yolanda no llevaba un escrito elaborado, el personal designado tomó apuntes de lo que el señor Gerardo Martínez Bautista manifestó para luego turnarlo a las autoridades correspondientes.</p>, <p>Aparte, el padre de Yolanda Martínez denunció que la investigación ha sido muy lenta, y que a un año de que encontraran muerta a la joven todavía no hay responsables.</p>, <p>""Ha sido muy lento, nos han dado largas por una circunstancia o por otra, ya que salen de vacaciones o que también paso que el ministerio público ahí tuvo alguna operación y luego se incapacitó, nos están dando largas para la investigación, un año desgraciadamente y ya casi no me logran ni una línea de investigación"", dijo el papá de Yolanda.</p>, <p>Detalló también que han tenido que luchar contra la Fiscalía para tipificar la muerte de Yolanda como feminicidio, ya que al inicio calificó su muerte como suicidio.</p>, <p>""Ya cuando se logró tipificar como feminicidio, ahí dejamos de hacer la petición, pero también depende de los resultados que haya dado el forense de Guatemala, ya veremos qué se puede hacer más"", comentó el señor Gerardo Martínez Bautista.</p>]"
Republicanos en Chile aumentan bancada en Consejo Constitucional,<p>Obtuvieron 35.4 por ciento de los sufragios y son contrarios a remplazar el actual texto</p>,https://www.jornada.com.mx/notas/2023/05/08/mundo/partido-republicano-en-chile-aumenta-su-bancada-en-el-consejo-constitucional/,mundo,La jornada,"Mon, 08 May 2023 20:50:00 -0500","<dc:creator xmlns:dc=""http://purl.org/dc/elements/1.1/"">Aldo Anfossi, especial para 'La Jornada'</dc:creator>","[<p>Santiago. Al tiempo que la centroizquierda en Chile se relamía las heridas que le dejó la derrota electoral del domingo en la elección de consejeros constitucionales, en la cual la extrema derecha se alzó como gran victoriosa, el oficialismo tuvo que soportar ver empeorar su suerte cuando por el ajuste de un resultado, perdió un escaño que fue a parar a los ultraconservadores.</p>, <p>Así el pinochetista Partido Republicano aumentó a 23 su bancada en el Consejo Constitucional de 50 integrantes; mientras que por contrapartida la lista Unidad para Chile, que reúne a comunistas, socialistas y Frente Amplio, se reduce a 16.</p>, <p>Ese cambio está lejos de ser un detalle menor, porque tiene el efecto de que la suma de los 34 consejeros electos por las derechas -republicanos más el pacto Chile Seguro (UDI, Renovación Nacional -RN- y Evopoli)-, significa que controlan dos tercios del órgano, una mayoría que será dirimente si deben crearse comisiones para resolver controversias.</p>, <p>Los republicanos, que obtuvieron 35.4 por ciento de los sufragios, son contrarios a remplazar el actual texto y si bien matizan cuál será su desempeño en adelante, tampoco ocultan su propósito de refrendar la subsidiariedad del Estado en la economía, la libertad de emprendimiento y lo conservador valórico.</p>, <p>""Nosotros creemos que esta Constitución es buena, tiene que tener algunas modificaciones”, dijo su secretaria general, Ruth Hurtado.</p>, <p>Más información en la versión impresa…</p>]"
ADN de osamenta no coincide con hijo desaparecido de Ceci Flores,<p>La Fiscalía de Sonora atendió el llamado de la líder de madres rastreadoras sobre los restos localizados sobre la carretera Hermosillo-Bahía de Kino.</p>,https://www.jornada.com.mx/notas/2023/05/08/estados/adn-de-osamenta-no-coincide-con-el-de-hijo-desaparecido-de-ceci-flores/,estados,La jornada,"Mon, 08 May 2023 20:47:00 -0500","<dc:creator xmlns:dc=""http://purl.org/dc/elements/1.1/"">Cristina Gómez Lima, corresponsal</dc:creator>","[<p><em>Hermosillo, Sonora.</em> Por tercera ocasión, la Fiscalía General de Justicia en Sonora (FGJE) informó que los resultados de la comparativa de ADN de la osamenta localizada por colectivo Madres Buscadoras de Sonora, no corresponden a Marco Antonio Sauceda Rocha, uno de los dos hijos desaparecidos de la líder de rastreadoras, Cecilia Patricia Flores Armenta.</p>, <p>El pasado jueves, la Madre Buscadora expuso que a través de una llamada anónima dio con la dirección donde se encontraba con una osamenta sobre la carretera Hermosillo-Bahía de Kino, la cual aseguró pudiera tratarse de su primogénito por la cercanía del sitio al lugar donde fue “levantado” por un grupo de hombres armados el 04 de mayo de 2019.</p>, <p>Elementos de la Fiscalía de Sonora acompañaron al grupo de madres en la búsqueda para su seguridad, y posteriormente levantaron los restos óseos para realizar la comparativa genética en el Laboratorio Científico de Inteligencia Forense.</p>, <p>“Negativo a la confronta de ADN con Cecilia Flores, líder del colectivo Madres Buscadoras, es el resultado del Laboratorio Científico de Inteligencia Forense, de la Fiscalía de Sonora de los análisis a restos óseos localizados el pasado 4 de mayo en el km. 88+300 de la Carretera 100, Costa de Hermosillo”, comunicó la Fiscalía Estatal.</p>, <p>Durante la búsqueda coordinada por personal de esta Fiscalía a solicitud de Cecilia Flores, participaron elementos de la Agencia Ministerial de Investigación Criminal, Policía Estatal y la Guardia Nacional para seguridad, investigación y recolección de indicios.</p>, <p>Así mismo, la FGJE mencionó que se mantienen los análisis por personal de Servicios Periciales para identificar los restos y poder entregarlos a familiares.</p>, <p>Esta sería la tercera ocasión que la lider de Madres Buscadoras de Sonora asegura que encuentra a su primogénito, sin embargo, la Fiscalía de Sonora, ha informado que en base a los exámenes de genética se ha comprobado que los restos localizados no coinciden con los datos de la familia Flores.</p>, <p>Desde mayo de 2019, Cecilia Flores Armenta fundó el colectivo Madres Buscadoras de Sonora para buscar sus dos hijos desaparecidos: Marco Antonio Sauceda Rocha, levantado el Bahía de Kino en Sonora y Alejandro Guadalupe Islas Flores, desaparecido desde el 30 de octubre de 2015 en Los Mochis, Sinaloa.</p>]"
Encapuchados vandalizan instalaciones de dirección CCH,"<p>En la protesta exigieron una auditoría por las becas Elisa Acuña, la creación de la defensoría de las mujeres y la comunidad LGBTTTIQ, entre otros.</p>",https://www.jornada.com.mx/notas/2023/05/08/sociedad/encapuchados-vandalizan-instalaciones-de-direccion-cch/,sociedad,La jornada,"Mon, 08 May 2023 20:43:00 -0500","<dc:creator xmlns:dc=""http://purl.org/dc/elements/1.1/"">César Arellano García</dc:creator>","[<p><em>Ciudad de México.</em> Un grupo de jóvenes con el rostro cubierto ingresaron a las instalaciones de la Dirección General del Colegio de Ciencias y Humanidades (CCH), de la Universidad Nacional Autónoma de México, para exigir una auditoría por las becas Elisa Acuña, la creación de la defensoría de las mujeres y la comunidad LGBTTTIQ, entre otros.</p>, <p>Los encapuchados que llegaron alrededor de las 6 de la tarde, realizaron algunos destrozos, rompieron vidrios y trataron de derribar las puertas para ingresar. Incluso algunos saltaron las bardas del edificio. También exigieron castigo a las personas que han sido señaladas de acosos sexual. Autoridades de la dirección que se encontraban en el lugar trataron de dialogar con los manifestantes.</p>]"
Bomberos piden reunión con Sheinbaum por problemas laborales,"<p>Como pensionados, comentaron afectados, “únicamente nos jubilan con lo que es el sueldo, una compensación y una prima</p>",https://www.jornada.com.mx/notas/2023/05/08/capital/bomberos-piden-reunion-con-sheinbaum-por-problemas-laborales/,capital,La jornada,"Mon, 08 May 2023 20:41:00 -0500","<dc:creator xmlns:dc=""http://purl.org/dc/elements/1.1/"">Laura Gómez Flores</dc:creator>","[<p>Jubilaciones menores a las que les corresponden, que los lleva a presentar un juicio ante el Tribunal de Justicia Administrativa, que “siempre ganan”; despedidos injustificados, acoso laboral y entrega de uniformes que no corresponden a su talla, enfrentan elementos del Heroico Cuerpo de Bomberos retirados y en activo.</p>, <p>Hoy, aseguraron, “estamos peor que cuando estaba el sindicato de Ismael Figueroa y si nos quejamos, nos cambian de central y obligan a trabajar todos los días, cuando las jornadas son de 24 horas laborales por 48 de descanso”.</p>, <p>A ello se suma la negativa del director Juan Manuel Pérez Cova de entregar las plazas que van dejando los jubilados a sus familiares, lo cual “no es una venta o un regalo, sino un derecho que nos hemos ganado”, afirmaron.</p>, <p>Los elementos, reunidos afuera de sus oficinas ubicadas en la colonia Juárez, solicitaron una reunión con la Jefa de Gobierno, Claudia Sheinbaum, para denunciar estas anomalías y puedan corregirse.</p>, <p>Como pensionados, comentaron afectados, “únicamente nos jubilan con lo que es el sueldo, una compensación y una prima, quitándonos todos los conceptos y compensaciones que teníamos en activo, por lo que tenemos que demandar y siempre ganamos”.</p>, <p>Ello, sin embargo, les significa invertir dos o tres años para lograrlo y entregar un 30 por ciento del dinero recuperado al abogado, cuando “ya de por sí salimos mal físicamente o enfermos después de 30 años de servicio y todavía tenemos que luchar”, dijeron.</p>, <p>La mayoría, comentaron, esperan ese tiempo para irse al 100 por ciento y cobrar la cláusula 47, que establece que por única ocasión recibirá 40 días de sueldo por cada año trabajado y al ponerle un recibo timbrado, como si fuera parte del sueldo y no un finiquito, provoca que se grave y “tenemos que pelear con un contador la devolución de los impuestos”.</p>, <p>Se trata de una gratificación y lo que “nos están quitando son entre cuatro o cinco mil pesos, dependiendo de los grados; y a eso sumamos la negativa de la dirección de cumplir con la cláusula 65, donde un trabajador puede dejar su plaza a un familiar, siempre y cuando cumpla con los requisitos establecidos para ingresar”.</p>, <p>Comentaron que, son más de mil plazas que dejaron los jubilados y no han sido ocupadas, de 2018 a la fecha, lo cual también “habla de que el número de bomberos ha ido a la baja, por lo que los dos mil uniformes que el gobierno entregó, quién sabe a quién se asignaron”.</p>, <p>Además de que “están destallados, el tiro muy corto o muy largo, o son de una talla menor a la solicitada, obligándonos a comprar con nuestros recursos uniformes similares, pero que no tienen la protección ante un incendio, con el riesgo que implica”.</p>, <p>El personal además “no puede quejarse, porque los cambian muy lejos de su casa, los obligan a trabajar de lunes a viernes, cuando la jornada es de 24x48 o ha habido casos de despidos injustificados”.</p>, <p>Por ello, pedimos a la Jefa de Gobierno “nos escuche y vea la situación que prevalece en el cuerpo de bomberos, a fin de que se corrija; y se considere un aumento salarial mayor al 3.5 por ciento que solicitó el Jefe Cova, cuando en la policía fue de 9 por ciento”.</p>]"
Tribunal revoca licencia a autoridades de Telela del Volcán,<p>El alcalde y dos regidores interpusieron un juicio pues aseguran que fueron obligados a presentar esa licencia al cargo de manera expres.</p>,https://www.jornada.com.mx/notas/2023/05/08/estados/tribunal-revoca-licencia-a-autoridades-municipales-de-telela-del-volcan/,estados,La jornada,"Mon, 08 May 2023 20:37:00 -0500","<dc:creator xmlns:dc=""http://purl.org/dc/elements/1.1/"">Rubicela Morelos Cruz, corresponsal</dc:creator>","[<p><em>Cuernavaca, Mor.</em> El Tribunal Estatal Electoral (TEE) revocó la sesión pública de cabildo que se registró el pasado 9 de marzo, donde supuestamente se había aprobado la licencia definitiva del alcalde, Luis Antonio Martínez Álvarez, la regidora Alondra Pérez y el regidor Florencio Sánchez del municipio de Tetela del Volcán, porque consideraron que dicha sesión no cumplió los requisitos legales de validez.</p>, <p>Lo anterior después de que los afectados presentaron ante el TEE un juicio de protección de sus derechos electorales, y en donde aseguraron, que fueron ""obligados"" a presentar dicha licencia definitiva al cargo.</p>, <p>En el razonamiento del proyecto, se mencionó en la sesión de este día, que en esa supuesta sesión de Cabildo comenzó después de una manifestación que se realizó en el ayuntamiento de Tetela del Volcán en donde familiares y pobladores protestaron por el asesinato del ex alcalde Israel González Pérez, y dos personas más de este municipio, (registrado el 2 de marzo pasado). González Pérez en el pasado proceso electoral fue reelecto, pero no pudo asumir porque fue considerado inelegible.</p>, <p>“En dicho acto (sesión de cabildo) se relató en el orden del día que se aprobó una licencia definitiva a tres ciudadanos en sus respectivos caracteres de presidente, regidor y regidora, todas del ayuntamiento de Tetela del Volcán, Morelos, la cual los accionantes tildan de ilegal”.</p>, <p>“En el proyecto se propone dar la razón a los enjuiciantes porque la sesión de cabildo del 9 de marzo carece de validez al no colmar los requisitos legales para su convocatoria, ya que la misma debía de ser emitida a los accionantes dos días antes de su emisión”.</p>, <p>Por esta situación se propuso revocar la sesión del 9 de marzo pasado y dejar sin efecto la licencia definitiva para separarse del cargo a los tres integrantes del cabildo mencionados.</p>, <p>Además, se anunció la incorporación inmediata a los actores, “tanto el ex presidente, el presidente suplente, como los regidores”, que fueron “coaccionados”, “amenazados”, para firmar su licencia definitiva.</p>, <p>En la manifestación del 9 de marzo pasado, incluso algunos inconformes acusaron al alcalde Luis Antonio Martínez de ser uno de los responsables intelectuales del asesinado de estas tres personas, entre éstas el ex alcalde González Pérez.</p>, <p>A más de dos meses de este triple homicidio la FGE que encabeza Uriel Carmona Gándara no ha dado avances de esta investigación ni ha esclarecido quién asesinó a estas tres personas, entre éstos el ex alcalde y por qué los mataron.</p>]"
